time,G(i) (Globalstrahlung),H_sun (Sonnenscheindauer in min),T2m (Temperatur),WS10m (Windgeschwindigkeit)
20220112:2310,0.0,0.0,1.44,0.97
20220113:0010,0.0,0.0,1.37,1.03
20220113:0110,0.0,0.0,1.29,0.97
20220113:0210,0.0,0.0,1.23,0.97
20220113:0310,0.0,0.0,0.92,0.83
20220113:0410,0.0,0.0,0.79,0.83
20220113:0510,0.0,0.0,0.3,0.9
20220113:0610,0.0,0.0,-0.01,0.9
20220113:0710,0.0,0.0,0.41,0.76
20220113:0810,97.32,4.2,-0.06,1.03
20220113:0910,206.58,10.45,1.05,0.83
20220113:1010,574.74,14.93,2.4,0.76
20220113:1110,710.46,17.28,3.63,0.55
20220113:1210,694.68,17.27,4.62,0.55
20220113:1310,614.4,14.89,5.37,0.76
20220113:1410,411.25,10.38,5.66,0.83
20220113:1510,179.09,4.11,5.43,0.83
20220113:1610,0.0,0.0,4.19,1.1
20220113:1710,0.0,0.0,2.83,1.24
20220113:1810,0.0,0.0,1.68,1.38
20220113:1910,0.0,0.0,2.65,0.55
20220113:2010,0.0,0.0,2.26,0.76
20220113:2110,0.0,0.0,1.42,0.97
20220113:2210,0.0,0.0,0.99,0.97
20220113:2310,0.0,0.0,0.02,1.24
20220114:0010,0.0,0.0,-0.68,1.45
20220114:0110,0.0,0.0,-0.38,1.31
20220114:0210,0.0,0.0,0.38,1.1
20220114:0310,0.0,0.0,0.43,1.1
20220114:0410,0.0,0.0,0.36,1.1
20220114:0510,0.0,0.0,0.56,1.03
20220114:0610,0.0,0.0,0.39,1.1
20220114:0710,0.0,0.0,0.69,0.34
20220114:0810,199.05,4.31,0.58,0.76
20220114:0910,408.66,10.58,1.24,0.48
20220114:1010,649.76,15.08,2.85,0.62
20220114:1110,388.52,17.45,4.39,1.03
20220114:1210,91.1,17.45,5.15,1.31
20220114:1310,57.69,15.08,5.54,1.52
20220114:1410,103.58,10.57,5.49,1.59
20220114:1510,4.58,4.31,4.67,1.38
20220114:1610,0.0,0.0,3.21,1.45
20220114:1710,0.0,0.0,2.58,0.83
20220114:1810,0.0,0.0,2.71,0.48
20220114:1910,0.0,0.0,1.26,1.03
20220114:2010,0.0,0.0,0.44,1.24
20220114:2110,0.0,0.0,-0.26,1.38
20220114:2210,0.0,0.0,-0.58,1.38
20220114:2310,0.0,0.0,-0.43,1.17
20220115:0010,0.0,0.0,-0.47,1.1
20220115:0110,0.0,0.0,-0.88,1.24
20220115:0210,0.0,0.0,-1.27,1.45
20220115:0310,0.0,0.0,-0.96,1.59
20220115:0410,0.0,0.0,-1.22,1.86
20220115:0510,0.0,0.0,-0.27,2.0
20220115:0610,0.0,0.0,0.14,2.28
20220115:0710,0.0,0.0,0.25,2.69
20220115:0810,37.04,4.43,0.48,2.83
20220115:0910,90.5,10.71,1.48,2.9
20220115:1010,73.26,15.23,3.12,3.03
20220115:1110,90.17,17.62,4.42,3.72
20220115:1210,91.99,17.63,5.15,3.45
20220115:1310,83.04,15.27,5.51,3.38
20220115:1410,49.45,10.77,5.11,3.1
20220115:1510,26.66,4.51,4.42,2.97
20220115:1610,0.0,0.0,3.26,3.1
20220115:1710,0.0,0.0,2.72,3.24
20220115:1810,0.0,0.0,2.51,3.24
20220115:1910,0.0,0.0,2.27,3.1
20220115:2010,0.0,0.0,1.94,3.03
20220115:2110,0.0,0.0,1.81,2.9
20220115:2210,0.0,0.0,1.72,2.83
20220115:2310,0.0,0.0,1.63,2.69
20220116:0010,0.0,0.0,1.48,2.41
20220116:0110,0.0,0.0,1.44,2.07
20220116:0210,0.0,0.0,1.42,1.59
20220116:0310,0.0,0.0,1.19,1.38
20220116:0410,0.0,0.0,0.78,1.45
20220116:0510,0.0,0.0,0.89,1.79
20220116:0610,0.0,0.0,1.42,2.21
20220116:0710,0.0,0.0,1.5,2.55
20220116:0810,4.58,4.55,1.91,2.69
20220116:0910,21.06,10.85,2.51,2.83
20220116:1010,57.69,15.39,3.41,3.1
20220116:1110,62.27,17.8,4.1,3.17
20220116:1210,228.93,17.83,4.62,4.21
20220116:1310,55.86,15.47,4.71,4.14
20220116:1410,44.87,10.98,4.48,3.66
20220116:1510,12.82,4.71,4.2,3.52
20220116:1610,0.0,0.0,4.03,3.45
20220116:1710,0.0,0.0,4.03,3.52
20220116:1810,0.0,0.0,4.16,3.59
20220116:1910,0.0,0.0,3.76,3.66
20220116:2010,0.0,0.0,3.84,3.79
20220116:2110,0.0,0.0,3.96,3.93
20220116:2210,0.0,0.0,4.11,4.07
20220116:2310,0.0,0.0,4.3,4.0
20220117:0010,0.0,0.0,4.46,3.86
20220117:0110,0.0,0.0,4.64,3.79
20220117:0210,0.0,0.0,4.66,3.66
20220117:0310,0.0,0.0,4.67,3.72
20220117:0410,0.0,0.0,4.63,3.86
20220117:0510,0.0,0.0,4.45,4.0
20220117:0610,0.0,0.0,4.12,3.93
20220117:0710,0.0,0.0,4.11,4.07
20220117:0810,171.87,4.67,4.4,4.34
20220117:0910,67.65,11.0,4.85,4.34
20220117:1010,105.3,15.56,5.19,4.62
20220117:1110,72.34,17.98,5.31,4.97
20220117:1210,68.68,18.03,5.42,5.03
20220117:1310,32.05,15.68,5.55,5.03
20220117:1410,26.56,11.18,5.71,4.69
20220117:1510,17.4,4.92,6.05,4.83
20220117:1610,0.0,0.0,6.42,4.76
20220117:1710,0.0,0.0,6.77,4.62
20220117:1810,0.0,0.0,6.97,4.28
20220117:1910,0.0,0.0,6.0,3.79
20220117:2010,0.0,0.0,6.0,3.45
20220117:2110,0.0,0.0,5.97,2.97
20220117:2210,0.0,0.0,5.79,2.69
20220117:2310,0.0,0.0,5.78,2.34
20220118:0010,0.0,0.0,5.68,2.21
20220118:0110,0.0,0.0,5.61,2.07
20220118:0210,0.0,0.0,5.55,1.86
20220118:0310,0.0,0.0,5.45,1.72
20220118:0410,0.0,0.0,5.37,1.66
20220118:0510,0.0,0.0,5.18,1.72
20220118:0610,0.0,0.0,5.04,1.72
20220118:0710,0.0,0.0,5.17,1.52
20220118:0810,35.93,4.81,5.16,1.31
20220118:0910,51.28,11.15,5.33,1.31
20220118:1010,154.96,15.74,5.67,1.31
20220118:1110,93.76,18.18,5.85,1.24
20220118:1210,146.97,18.23,6.25,0.97
20220118:1310,132.01,15.89,6.68,0.69
20220118:1410,69.97,11.4,6.79,0.55
20220118:1510,29.72,5.13,6.6,0.41
20220118:1610,0.0,0.0,6.07,0.41
20220118:1710,0.0,0.0,5.41,0.76
20220118:1810,0.0,0.0,4.76,1.52
20220118:1910,0.0,0.0,4.84,2.07
20220118:2010,0.0,0.0,4.72,2.21
20220118:2110,0.0,0.0,4.29,2.21
20220118:2210,0.0,0.0,3.52,2.14
20220118:2310,0.0,0.0,2.51,2.21
20220119:0010,0.0,0.0,1.87,2.21
20220119:0110,0.0,0.0,1.29,2.14
20220119:0210,0.0,0.0,0.84,1.93
20220119:0310,0.0,0.0,0.73,2.14
20220119:0410,0.0,0.0,0.41,2.48
20220119:0510,0.0,0.0,0.49,2.55
20220119:0610,0.0,0.0,0.3,2.62
20220119:0710,0.0,0.0,1.37,2.76
20220119:0810,27.34,4.95,1.08,2.34
20220119:0910,24.73,11.31,1.87,1.86
20220119:1010,29.3,15.92,3.02,2.69
20220119:1110,52.2,18.38,3.7,3.31
20220119:1210,32.05,18.44,3.76,3.59
20220119:1310,35.71,16.11,3.81,3.79
20220119:1410,16.48,11.62,3.73,4.21
20220119:1510,27.63,5.34,3.64,3.79
20220119:1610,0.0,0.0,3.49,3.45
20220119:1710,0.0,0.0,3.5,3.72
20220119:1810,0.0,0.0,3.66,4.14
20220119:1910,0.0,0.0,3.61,4.14
20220119:2010,0.0,0.0,4.01,4.41
20220119:2110,0.0,0.0,4.38,4.48
20220119:2210,0.0,0.0,4.45,4.28
20220119:2310,0.0,0.0,4.03,4.21
20220120:0010,0.0,0.0,3.28,3.79
20220120:0110,0.0,0.0,2.81,3.86
20220120:0210,0.0,0.0,2.37,3.86
20220120:0310,0.0,0.0,2.28,4.28
20220120:0410,0.0,0.0,2.22,4.69
