time,G(i) (Globalstrahlung),H_sun (Sonnenscheindauer in min),T2m (Temperatur),WS10m (Windgeschwindigkeit)
20230928:0810,357.14,23.38,18.8,1.03
20230928:0910,520.86,30.21,19.86,2.14
20230928:1010,674.48,34.99,20.6,2.07
20230928:1110,662.17,37.07,21.61,2.07
20230928:1210,613.18,36.11,22.25,1.93
20230928:1310,684.69,32.27,22.54,1.31
20230928:1410,582.09,26.13,22.54,1.38
20230928:1510,296.43,18.36,22.37,1.31
20230928:1610,77.85,9.58,21.69,1.38
20230928:1710,0.0,0.0,20.37,1.86
20230928:1810,0.0,0.0,19.19,1.86
20230928:1910,0.0,0.0,18.82,0.62
20230928:2010,0.0,0.0,16.92,1.24
20230928:2110,0.0,0.0,15.95,2.0
20230928:2210,0.0,0.0,15.72,2.28
20230928:2310,0.0,0.0,15.91,2.34
20230929:0010,0.0,0.0,15.87,2.28
20230929:0110,0.0,0.0,15.86,2.14
20230929:0210,0.0,0.0,15.69,2.21
20230929:0310,0.0,0.0,15.85,2.34
20230929:0410,0.0,0.0,16.2,2.55
20230929:0510,0.0,0.0,16.51,2.9
20230929:0610,47.75,5.88,16.73,3.03
20230929:0710,183.7,14.9,17.92,3.52
20230929:0810,159.81,23.09,19.54,3.31
20230929:0910,323.07,29.88,21.23,4.07
20230929:1010,379.29,34.63,21.89,5.17
20230929:1110,436.85,36.69,21.85,4.83
20230929:1210,522.48,35.72,21.47,4.41
20230929:1310,75.09,31.88,21.48,5.38
20230929:1410,113.55,25.75,21.06,5.17
20230929:1510,119.49,17.99,20.18,5.1
20230929:1610,11.9,9.22,19.08,5.1
20230929:1710,0.0,0.0,18.19,4.55
20230929:1810,0.0,0.0,17.38,3.79
20230929:1910,0.0,0.0,15.94,3.72
20230929:2010,0.0,0.0,15.45,3.45
20230929:2110,0.0,0.0,14.62,2.76
20230929:2210,0.0,0.0,14.23,2.34
20230929:2310,0.0,0.0,13.66,1.86
20230930:0010,0.0,0.0,13.04,1.59
20230930:0110,0.0,0.0,12.12,1.31
20230930:0210,0.0,0.0,11.45,1.31
20230930:0310,0.0,0.0,10.82,1.59
20230930:0410,0.0,0.0,10.38,1.79
20230930:0510,0.0,0.0,9.84,1.79
20230930:0610,63.9,5.63,9.51,1.66
20230930:0710,207.95,14.63,11.87,1.17
20230930:0810,340.49,22.79,13.94,1.17
20230930:0910,617.2,29.56,15.11,0.97
20230930:1010,781.79,34.27,16.19,0.9
20230930:1110,532.24,36.3,17.04,1.03
20230930:1210,578.59,35.32,17.61,0.83
20230930:1310,527.77,31.49,18.02,0.76
20230930:1410,248.61,25.36,18.2,0.9
20230930:1510,326.88,17.62,18.07,0.62
20230930:1610,47.94,8.86,17.71,0.14
20230930:1710,0.0,0.0,16.95,0.28
20230930:1810,0.0,0.0,16.2,0.48
20230930:1910,0.0,0.0,13.11,1.93
20230930:2010,0.0,0.0,12.17,1.93
20230930:2110,0.0,0.0,11.5,1.72
20230930:2210,0.0,0.0,11.15,1.86
20230930:2310,0.0,0.0,11.01,1.79
20231001:0010,0.0,0.0,10.74,1.72
20231001:0110,0.0,0.0,10.56,1.93
20231001:0210,0.0,0.0,10.69,2.07
20231001:0310,0.0,0.0,10.93,2.07
20231001:0410,0.0,0.0,11.06,1.93
20231001:0510,0.0,0.0,11.08,1.93
20231001:0610,83.75,5.37,11.13,2.0
20231001:0710,319.74,14.36,12.84,1.93
20231001:0810,549.13,22.5,15.51,2.07
20231001:0910,724.56,29.23,17.64,2.28
20231001:1010,830.09,33.91,19.38,2.34
20231001:1110,841.85,35.92,20.75,2.41
20231001:1210,829.82,34.92,21.79,2.48
20231001:1310,756.04,31.09,22.58,2.48
20231001:1410,592.06,24.98,23.01,2.28
20231001:1510,374.88,17.25,23.12,2.07
20231001:1610,136.43,8.5,22.45,1.66
20231001:1710,0.0,0.0,20.78,2.34
20231001:1810,0.0,0.0,19.13,2.48
20231001:1910,0.0,0.0,18.05,2.55
20231001:2010,0.0,0.0,17.35,2.55
20231001:2110,0.0,0.0,16.68,2.41
20231001:2210,0.0,0.0,16.03,2.28
20231001:2310,0.0,0.0,15.37,2.21
20231002:0010,0.0,0.0,14.67,2.0
20231002:0110,0.0,0.0,13.99,1.86
20231002:0210,0.0,0.0,13.44,1.93
20231002:0310,0.0,0.0,13.12,2.07
20231002:0410,0.0,0.0,12.95,2.14
20231002:0510,0.0,0.0,12.83,2.21
20231002:0610,55.33,5.12,12.78,2.21
20231002:0710,303.93,14.09,14.79,2.21
20231002:0810,471.46,22.2,17.61,2.28
20231002:0910,669.74,28.91,19.9,2.41
20231002:1010,738.07,33.55,21.83,2.48
20231002:1110,834.84,35.53,23.3,2.55
20231002:1210,733.54,34.52,24.45,2.69
20231002:1310,624.91,30.7,25.08,2.83
20231002:1410,430.1,24.6,25.33,2.97
20231002:1510,231.99,16.89,24.92,2.55
20231002:1610,99.51,8.14,23.69,2.76
20231002:1710,0.0,0.0,21.85,3.03
20231002:1810,0.0,0.0,20.43,3.03
20231002:1910,0.0,0.0,19.4,3.1
20231002:2010,0.0,0.0,18.7,3.31
20231002:2110,0.0,0.0,18.36,3.45
20231002:2210,0.0,0.0,18.23,3.45
20231002:2310,0.0,0.0,18.2,3.45
20231003:0010,0.0,0.0,18.31,3.45
20231003:0110,0.0,0.0,18.4,3.66
20231003:0210,0.0,0.0,18.65,3.79
20231003:0310,0.0,0.0,19.16,4.07
20231003:0410,0.0,0.0,19.67,4.21
20231003:0510,0.0,0.0,19.83,4.28
20231003:0610,3.66,4.86,19.56,4.55
20231003:0710,109.73,13.82,19.76,4.62
20231003:0810,117.6,21.91,19.96,5.03
20231003:0910,61.36,28.58,19.97,5.31
20231003:1010,59.52,33.19,19.53,5.72
20231003:1110,93.41,35.15,18.9,5.31
20231003:1210,51.28,34.13,17.82,4.76
20231003:1310,63.19,30.31,16.18,5.03
20231003:1410,31.14,24.22,14.63,6.34
20231003:1510,314.64,16.52,13.71,5.66
20231003:1610,67.01,7.78,13.79,4.62
20231003:1710,0.0,0.0,13.4,4.07
20231003:1810,0.0,0.0,13.09,3.31
20231003:1910,0.0,0.0,13.18,4.0
20231003:2010,0.0,0.0,13.2,3.79
20231003:2110,0.0,0.0,13.15,3.45
20231003:2210,0.0,0.0,12.83,3.1
20231003:2310,0.0,0.0,12.33,3.38
20231004:0010,0.0,0.0,11.96,3.24
20231004:0110,0.0,0.0,11.75,3.24
20231004:0210,0.0,0.0,11.53,3.38
20231004:0310,0.0,0.0,11.75,3.45
20231004:0410,0.0,0.0,11.82,3.45
20231004:0510,0.0,0.0,11.78,3.17
20231004:0610,62.95,4.6,11.41,2.9
20231004:0710,283.58,13.55,12.11,2.76
20231004:0810,529.11,21.61,13.06,4.62
20231004:0910,568.49,28.25,14.31,4.62
20231004:1010,620.99,32.83,15.16,4.55
20231004:1110,427.13,34.76,15.64,4.41
20231004:1210,408.07,33.74,16.43,4.41
20231004:1310,339.39,29.92,16.71,4.28
20231004:1410,193.69,23.84,16.76,4.0
20231004:1510,130.31,16.15,16.54,3.17
20231004:1610,14.65,7.43,16.15,2.41
20231004:1710,0.0,0.0,15.59,2.21
20231004:1810,0.0,0.0,14.96,2.28
20231004:1910,0.0,0.0,14.37,2.34
20231004:2010,0.0,0.0,13.9,2.48
20231004:2110,0.0,0.0,13.61,2.62
20231004:2210,0.0,0.0,13.16,2.69
20231004:2310,0.0,0.0,13.0,2.83
20231005:0010,0.0,0.0,12.92,2.83
20231005:0110,0.0,0.0,12.69,2.83
20231005:0210,0.0,0.0,12.5,2.97
20231005:0310,0.0,0.0,12.43,2.97
20231005:0410,0.0,0.0,12.32,2.9
20231005:0510,0.0,0.0,12.28,2.9
20231005:0610,13.74,4.35,12.23,2.97
20231005:0710,62.67,13.27,12.49,3.03
20231005:0810,218.6,21.31,13.77,3.66
20231005:0910,194.5,27.92,14.97,4.9
20231005:1010,225.47,32.48,15.43,4.41
20231005:1110,196.49,34.38,15.38,3.66
20231005:1210,675.95,33.34,15.51,3.24
20231005:1310,403.17,29.53,15.99,3.45
20231005:1410,256.31,23.47,16.6,3.59
20231005:1510,297.36,15.79,16.73,3.24
20231005:1610,75.8,7.08,16.22,1.79
20231005:1710,0.0,0.0,15.28,1.38
20231005:1810,0.0,0.0,13.84,1.66
20231005:1910,0.0,0.0,13.02,2.0
20231005:2010,0.0,0.0,12.8,1.93
20231005:2110,0.0,0.0,12.15,2.0
20231005:2210,0.0,0.0,11.84,1.86
20231005:2310,0.0,0.0,11.22,2.0
20231006:0010,0.0,0.0,10.85,2.07
20231006:0110,0.0,0.0,10.66,2.07
20231006:0210,0.0,0.0,10.53,2.07
20231006:0310,0.0,0.0,10.26,2.07
20231006:0410,0.0,0.0,10.11,2.21
20231006:0510,0.0,0.0,10.0,2.34
20231006:0610,29.69,4.09,9.99,2.41
20231006:0710,244.04,13.0,11.16,2.41
20231006:0810,470.6,21.02,13.29,2.83
20231006:0910,672.01,27.6,14.75,2.83
20231006:1010,770.84,32.12,16.37,3.1
20231006:1110,844.69,34.0,17.66,3.24
20231006:1210,530.53,32.95,18.61,3.45
20231006:1310,407.32,29.14,19.13,3.52
20231006:1410,479.46,23.09,19.32,3.66
20231006:1510,199.81,15.43,19.05,3.24
20231006:1610,76.89,6.73,18.3,2.76
20231006:1710,0.0,0.0,16.93,2.76
20231006:1810,0.0,0.0,15.81,2.69
20231006:1910,0.0,0.0,14.67,2.76
20231006:2010,0.0,0.0,14.14,2.9
20231006:2110,0.0,0.0,13.77,2.97
20231006:2210,0.0,0.0,13.43,2.97
20231006:2310,0.0,0.0,13.01,3.03
20231007:0010,0.0,0.0,12.66,3.24
20231007:0110,0.0,0.0,12.38,3.38
20231007:0210,0.0,0.0,12.15,3.03
20231007:0310,0.0,0.0,11.94,2.83
20231007:0410,0.0,0.0,11.95,2.83
20231007:0510,0.0,0.0,11.96,2.76
20231007:0610,32.77,3.83,12.43,2.69
20231007:0710,91.92,12.73,13.91,3.31
20231007:0810,141.92,20.72,14.65,3.1
20231007:0910,204.33,27.27,15.93,4.0
20231007:1010,799.13,31.76,17.8,4.48
20231007:1110,843.4,33.62,19.51,4.34
20231007:1210,779.65,32.56,20.7,4.41
20231007:1310,675.26,28.76,21.33,4.83
20231007:1410,502.74,22.72,21.45,5.03
20231007:1510,199.92,15.07,21.11,4.48
20231007:1610,58.73,6.38,20.2,4.0
20231007:1710,0.0,0.0,19.2,4.0
20231007:1810,0.0,0.0,18.55,4.21
20231007:1910,0.0,0.0,17.7,4.0
20231007:2010,0.0,0.0,17.35,4.0
20231007:2110,0.0,0.0,17.03,4.07
20231007:2210,0.0,0.0,16.68,3.86
20231007:2310,0.0,0.0,16.25,3.59
20231008:0010,0.0,0.0,15.79,3.52
20231008:0110,0.0,0.0,15.32,3.38
20231008:0210,0.0,0.0,14.84,3.1
20231008:0310,0.0,0.0,14.37,2.83
20231008:0410,0.0,0.0,13.96,2.62
20231008:0510,0.0,0.0,13.89,2.34
20231008:0610,28.22,3.57,13.61,2.21
20231008:0710,101.64,12.45,14.51,1.86
20231008:0810,353.05,20.42,15.68,1.93
20231008:0910,254.38,26.94,16.82,2.48
20231008:1010,333.05,31.4,17.11,2.34
20231008:1110,469.01,33.23,17.45,1.03
20231008:1210,477.7,32.17,18.34,0.76
20231008:1310,46.7,28.37,19.04,1.24
20231008:1410,268.57,22.35,19.58,0.9
20231008:1510,60.44,14.71,19.91,0.76
20231008:1610,91.24,6.03,19.71,0.34
20231008:1710,0.0,0.0,18.21,1.38
20231008:1810,0.0,0.0,16.24,1.59
20231008:1910,0.0,0.0,15.01,1.24
20231008:2010,0.0,0.0,14.22,1.72
20231008:2110,0.0,0.0,14.12,1.79
20231008:2210,0.0,0.0,14.0,1.93
20231008:2310,0.0,0.0,14.06,2.28
20231009:0010,0.0,0.0,14.43,2.48
20231009:0110,0.0,0.0,14.3,2.62
20231009:0210,0.0,0.0,14.0,2.69
20231009:0310,0.0,0.0,13.71,2.62
20231009:0410,0.0,0.0,13.44,2.55
20231009:0510,0.0,0.0,13.2,2.41
20231009:0610,16.65,3.31,13.05,2.28
20231009:0710,65.34,12.18,14.25,2.28
20231009:0810,137.42,20.12,16.13,2.07
20231009:0910,167.44,26.61,17.34,2.55
20231009:1010,372.65,31.04,18.4,2.76
20231009:1110,308.54,32.85,19.27,3.1
20231009:1210,316.57,31.78,20.11,3.52
20231009:1310,177.18,27.99,20.19,3.1
20231009:1410,340.79,21.98,20.06,2.69
20231009:1510,295.05,14.36,19.79,2.76
20231009:1610,99.38,5.69,19.07,2.62
20231009:1710,0.0,0.0,18.09,2.41
20231009:1810,0.0,0.0,17.06,2.41
20231009:1910,0.0,0.0,16.14,2.28
20231009:2010,0.0,0.0,15.51,2.28
20231009:2110,0.0,0.0,15.05,2.07
20231009:2210,0.0,0.0,14.58,1.79
20231009:2310,0.0,0.0,14.16,1.52
20231010:0010,0.0,0.0,13.59,1.45
20231010:0110,0.0,0.0,12.77,1.59
20231010:0210,0.0,0.0,12.41,1.45
20231010:0310,0.0,0.0,12.15,1.38
20231010:0410,0.0,0.0,11.9,1.52
20231010:0510,0.0,0.0,11.95,1.66
20231010:0610,22.99,3.05,12.13,1.79
20231010:0710,159.65,11.9,13.1,1.93
20231010:0810,370.1,19.82,15.2,2.07
20231010:0910,462.38,26.28,17.3,2.07
20231010:1010,517.97,30.68,19.18,2.21
20231010:1110,783.16,32.48,20.63,2.34
20231010:1210,809.84,31.4,21.88,2.48
20231010:1310,719.17,27.61,22.82,2.69
20231010:1410,550.78,21.61,23.28,2.69
20231010:1510,333.68,14.01,23.0,2.21
20231010:1610,60.45,5.35,21.75,2.41
20231010:1710,0.0,0.0,19.92,2.69
20231010:1810,0.0,0.0,18.57,2.83
20231010:1910,0.0,0.0,17.65,2.9
20231010:2010,0.0,0.0,17.17,2.97
20231010:2110,0.0,0.0,16.91,3.1
20231010:2210,0.0,0.0,16.76,3.17
20231010:2310,0.0,0.0,16.68,3.24
20231011:0010,0.0,0.0,16.53,3.24
20231011:0110,0.0,0.0,16.38,3.17
20231011:0210,0.0,0.0,16.18,3.1
20231011:0310,0.0,0.0,15.85,3.03
20231011:0410,0.0,0.0,15.42,2.9
20231011:0510,0.0,0.0,15.01,2.83
20231011:0610,10.07,2.79,14.78,2.83
20231011:0710,237.55,11.62,15.69,3.03
20231011:0810,459.6,19.52,17.79,3.03
20231011:0910,644.06,25.95,19.97,3.17
20231011:1010,755.84,30.33,21.72,4.07
20231011:1110,781.92,32.1,22.71,4.48
20231011:1210,782.8,31.01,23.41,4.76
20231011:1310,667.65,27.23,23.55,4.55
20231011:1410,221.32,21.25,23.61,4.28
20231011:1510,139.34,13.66,23.11,3.72
20231011:1610,59.11,5.01,21.95,3.38
20231011:1710,0.0,0.0,20.78,3.17
20231011:1810,0.0,0.0,19.95,3.24
20231011:1910,0.0,0.0,19.67,3.72
20231011:2010,0.0,0.0,19.42,3.72
20231011:2110,0.0,0.0,18.98,3.72
20231011:2210,0.0,0.0,18.45,3.72
20231011:2310,0.0,0.0,18.15,4.0
20231012:0010,0.0,0.0,18.11,4.21
20231012:0110,0.0,0.0,17.69,4.0
20231012:0210,0.0,0.0,17.39,3.31
20231012:0310,0.0,0.0,16.98,2.48
20231012:0410,0.0,0.0,16.22,1.86
20231012:0510,0.0,0.0,15.65,1.79
20231012:0610,1.83,2.53,15.0,1.86
20231012:0710,16.48,11.35,15.14,2.55
20231012:0810,39.38,19.22,15.27,2.34
20231012:0910,76.92,25.62,15.53,2.28
20231012:1010,238.87,29.97,16.62,2.34
20231012:1110,416.23,31.72,17.85,2.76
20231012:1210,285.54,30.63,18.68,2.97
20231012:1310,56.78,26.86,19.05,3.45
20231012:1410,65.93,20.89,18.88,2.48
20231012:1510,91.23,13.31,18.65,2.21
20231012:1610,4.58,4.67,18.23,2.48
20231012:1710,0.0,0.0,17.69,2.69
20231012:1810,0.0,0.0,17.6,3.03
20231012:1910,0.0,0.0,16.7,3.03
20231012:2010,0.0,0.0,16.73,2.97
20231012:2110,0.0,0.0,16.66,2.76
20231012:2210,0.0,0.0,16.79,2.69
20231012:2310,0.0,0.0,16.96,2.62
20231013:0010,0.0,0.0,17.12,2.48
20231013:0110,0.0,0.0,17.18,2.41
20231013:0210,0.0,0.0,17.17,2.48
20231013:0310,0.0,0.0,17.23,2.76
20231013:0410,0.0,0.0,17.29,3.1
20231013:0510,0.0,0.0,17.67,3.59
20231013:0610,2.75,2.27,17.95,4.14
20231013:0710,63.08,11.07,17.81,4.0
20231013:0810,123.95,18.92,18.39,4.62
20231013:0910,128.53,25.3,19.7,5.52
20231013:1010,201.02,29.61,21.22,5.86
20231013:1110,257.46,31.35,22.28,6.07
20231013:1210,96.15,30.25,22.93,5.86
20231013:1310,33.88,26.48,23.59,5.79
20231013:1410,42.12,20.53,23.78,6.21
20231013:1510,53.11,12.96,22.98,5.86
20231013:1610,11.9,4.34,21.81,4.62
20231013:1710,0.0,0.0,21.26,4.48
20231013:1810,0.0,0.0,21.06,4.28
20231013:1910,0.0,0.0,19.65,3.66
20231013:2010,0.0,0.0,19.2,4.55
20231013:2110,0.0,0.0,18.81,5.79
20231013:2210,0.0,0.0,18.8,6.76
20231013:2310,0.0,0.0,18.9,7.1
20231014:0010,0.0,0.0,18.61,7.17
20231014:0110,0.0,0.0,17.83,6.83
20231014:0210,0.0,0.0,16.86,6.83
20231014:0310,0.0,0.0,15.69,6.76
20231014:0410,0.0,0.0,13.35,5.38
20231014:0510,0.0,0.0,12.27,4.21
20231014:0610,8.24,2.01,11.76,4.07
20231014:0710,266.55,10.79,11.68,4.34
20231014:0810,376.7,18.62,12.02,4.69
20231014:0910,338.89,24.97,12.19,5.45
20231014:1010,292.26,29.26,12.66,5.59
20231014:1110,319.22,30.98,13.35,5.52
20231014:1210,761.26,29.88,13.65,5.52
20231014:1310,495.63,26.11,13.75,5.72
20231014:1410,144.54,20.17,13.37,5.72
20231014:1510,170.33,12.62,12.7,5.24
20231014:1610,22.74,4.01,11.79,4.83
20231014:1710,0.0,0.0,11.17,4.34
20231014:1810,0.0,0.0,10.76,3.52
20231014:1910,0.0,0.0,9.53,3.24
20231014:2010,0.0,0.0,8.8,2.76
20231014:2110,0.0,0.0,8.55,2.83
20231014:2210,0.0,0.0,8.36,2.83
20231014:2310,0.0,0.0,7.84,2.76
20231015:0010,0.0,0.0,7.58,2.62
20231015:0110,0.0,0.0,7.25,2.62
20231015:0210,0.0,0.0,7.06,2.76
20231015:0310,0.0,0.0,6.99,2.97
20231015:0410,0.0,0.0,7.16,3.17
20231015:0510,0.0,0.0,7.25,3.38
20231015:0610,3.66,1.75,7.17,3.45
20231015:0710,113.64,10.51,7.06,3.17
20231015:0810,84.25,18.32,7.56,3.86
20231015:0910,125.83,24.64,8.37,4.0
20231015:1010,142.24,28.91,9.24,4.07
20231015:1110,397.8,30.61,10.08,4.21
20231015:1210,148.63,29.5,10.53,4.41
20231015:1310,73.26,25.75,10.68,4.62
20231015:1410,215.84,19.81,10.51,4.69
20231015:1510,247.97,12.28,10.19,4.55
20231015:1610,9.16,3.68,9.5,3.86
20231015:1710,0.0,0.0,8.93,3.03
20231015:1810,0.0,0.0,8.15,2.69
20231015:1910,0.0,0.0,7.07,2.14
20231015:2010,0.0,0.0,6.73,2.0
20231015:2110,0.0,0.0,6.41,1.93
20231015:2210,0.0,0.0,5.75,1.93
20231015:2310,0.0,0.0,5.24,1.72
20231016:0010,0.0,0.0,4.57,1.66
20231016:0110,0.0,0.0,3.96,1.52
20231016:0210,0.0,0.0,3.8,1.38
20231016:0310,0.0,0.0,4.05,1.1
20231016:0410,0.0,0.0,4.51,0.76
20231016:0510,0.0,0.0,4.56,0.62
20231016:0610,1.83,1.48,4.33,0.76
20231016:0710,84.02,10.24,4.24,0.9
20231016:0810,249.01,18.02,5.27,0.97
20231016:0910,363.72,24.31,6.09,1.03
20231016:1010,654.09,28.56,7.27,1.03
20231016:1110,683.98,30.24,8.41,0.9
20231016:1210,640.68,29.13,9.3,0.97
20231016:1310,372.06,25.38,9.85,1.17
20231016:1410,188.72,19.46,10.3,1.45
20231016:1510,122.27,11.94,10.5,1.72
20231016:1610,25.56,3.35,10.33,1.52
20231016:1710,0.0,0.0,9.78,0.83
20231016:1810,0.0,0.0,8.76,0.9
20231016:1910,0.0,0.0,7.02,1.45
20231016:2010,0.0,0.0,6.27,1.93
20231016:2110,0.0,0.0,6.03,2.07
20231016:2210,0.0,0.0,6.06,2.07
20231016:2310,0.0,0.0,6.1,2.07
20231017:0010,0.0,0.0,5.99,2.07
20231017:0110,0.0,0.0,5.94,2.07
20231017:0210,0.0,0.0,6.0,2.14
20231017:0310,0.0,0.0,6.24,2.34
20231017:0410,0.0,0.0,6.34,2.41
20231017:0510,0.0,0.0,6.45,2.34
20231017:0610,0.0,0.0,6.51,2.41
20231017:0710,63.94,9.96,6.39,2.55
20231017:0810,154.58,17.72,7.43,2.76
20231017:0910,172.98,23.99,8.42,3.31
20231017:1010,522.17,28.2,9.58,3.72
20231017:1110,899.53,29.87,10.82,3.93
20231017:1210,855.66,28.76,11.65,3.79
20231017:1310,760.3,25.02,12.17,3.59
20231017:1410,556.29,19.12,12.34,3.38
20231017:1510,288.78,11.61,12.09,3.03
20231017:1610,38.73,3.03,11.1,2.62
20231017:1710,0.0,0.0,9.52,2.76
20231017:1810,0.0,0.0,8.5,2.9
20231017:1910,0.0,0.0,7.78,3.1
20231017:2010,0.0,0.0,7.44,3.38
20231017:2110,0.0,0.0,7.28,3.59
20231017:2210,0.0,0.0,7.17,3.72
20231017:2310,0.0,0.0,7.02,3.72
20231018:0010,0.0,0.0,6.89,3.79
20231018:0110,0.0,0.0,6.67,3.86
20231018:0210,0.0,0.0,6.54,3.93
20231018:0310,0.0,0.0,6.35,3.93
20231018:0410,0.0,0.0,6.3,3.93
20231018:0510,0.0,0.0,6.27,4.0
20231018:0610,0.0,0.0,6.22,4.21
20231018:0710,126.48,9.68,6.1,4.69
20231018:0810,252.11,17.42,7.23,4.62
20231018:0910,358.97,23.66,8.88,5.38
20231018:1010,691.71,27.86,10.56,5.59
20231018:1110,585.35,29.51,11.9,5.52
20231018:1210,560.42,28.39,12.8,5.38
20231018:1310,243.32,24.66,13.28,5.24
20231018:1410,134.54,18.77,13.45,4.83
20231018:1510,29.3,11.28,13.46,5.1
20231018:1610,7.33,2.72,13.09,5.31
20231018:1710,0.0,0.0,12.72,5.45
20231018:1810,0.0,0.0,12.7,5.66
20231018:1910,0.0,0.0,11.98,5.59
20231018:2010,0.0,0.0,11.26,5.52
20231018:2110,0.0,0.0,10.81,5.66
20231018:2210,0.0,0.0,10.99,5.72
20231018:2310,0.0,0.0,11.52,5.45
20231019:0010,0.0,0.0,12.19,4.9
20231019:0110,0.0,0.0,13.01,4.14
20231019:0210,0.0,0.0,13.63,3.24
20231019:0310,0.0,0.0,14.01,2.62
20231019:0410,0.0,0.0,14.25,2.48
20231019:0510,0.0,0.0,14.16,2.41
20231019:0610,0.0,0.0,14.07,2.41
20231019:0710,69.95,9.4,14.0,2.28
20231019:0810,137.49,17.12,14.78,2.48
20231019:0910,659.57,23.34,15.61,2.62
20231019:1010,312.49,27.51,17.13,3.66
20231019:1110,82.42,29.14,18.11,4.41
20231019:1210,72.34,28.02,18.87,4.34
20231019:1310,175.06,24.3,19.19,3.79
20231019:1410,22.89,18.43,18.43,2.76
20231019:1510,25.64,10.96,17.12,3.03
20231019:1610,20.83,2.4,16.48,3.38
20231019:1710,0.0,0.0,15.68,3.59
20231019:1810,0.0,0.0,15.0,3.66
20231019:1910,0.0,0.0,14.28,3.45
20231019:2010,0.0,0.0,14.19,3.79
20231019:2110,0.0,0.0,14.22,3.86
20231019:2210,0.0,0.0,14.3,3.86
20231019:2310,0.0,0.0,14.35,3.93
20231020:0010,0.0,0.0,14.32,4.0
20231020:0110,0.0,0.0,14.26,4.0
20231020:0210,0.0,0.0,14.05,3.93
20231020:0310,0.0,0.0,13.91,4.07
20231020:0410,0.0,0.0,13.83,4.28
20231020:0510,0.0,0.0,13.88,4.41
20231020:0610,0.0,0.0,13.88,4.55
20231020:0710,9.16,9.13,13.94,4.28
20231020:0810,29.3,16.82,13.9,4.34
20231020:0910,44.87,23.01,13.84,4.21
20231020:1010,97.07,27.16,14.03,3.79
20231020:1110,62.27,28.78,14.02,4.34
20231020:1210,92.49,27.66,13.89,4.55
20231020:1310,110.81,23.95,13.98,4.41
20231020:1410,30.22,18.09,14.72,4.55
20231020:1510,11.9,10.63,14.72,5.24
20231020:1610,1.83,2.09,14.38,4.28
20231020:1710,0.0,0.0,13.95,4.07
20231020:1810,0.0,0.0,13.51,3.72
20231020:1910,0.0,0.0,12.69,4.0
20231020:2010,0.0,0.0,12.5,4.14
20231020:2110,0.0,0.0,12.29,3.66
20231020:2210,0.0,0.0,12.07,3.17
20231020:2310,0.0,0.0,11.84,3.24
20231021:0010,0.0,0.0,12.03,3.1
20231021:0110,0.0,0.0,12.3,2.69
20231021:0210,0.0,0.0,12.53,1.93
20231021:0310,0.0,0.0,12.65,2.69
20231021:0410,0.0,0.0,12.84,3.66
20231021:0510,0.0,0.0,13.08,3.24
20231021:0610,0.0,0.0,13.15,3.52
20231021:0710,200.94,8.85,13.32,4.48
20231021:0810,474.81,16.52,13.54,4.97
20231021:0910,592.91,22.69,13.9,5.45
20231021:1010,453.42,26.82,14.33,6.07
20231021:1110,831.05,28.43,15.13,5.86
20231021:1210,466.37,27.3,15.82,5.86
20231021:1310,536.92,23.6,16.12,5.93
20231021:1410,453.56,17.76,15.99,5.38
20231021:1510,274.14,10.31,15.6,4.83
20231021:1610,5.49,1.79,14.88,4.69
20231021:1710,0.0,0.0,14.22,4.76
20231021:1810,0.0,0.0,13.93,4.97
20231021:1910,0.0,0.0,13.38,5.17
20231021:2010,0.0,0.0,13.2,5.38
20231021:2110,0.0,0.0,13.21,5.59
20231021:2210,0.0,0.0,13.41,5.59
20231021:2310,0.0,0.0,13.23,5.52
20231022:0010,0.0,0.0,13.18,5.52
20231022:0110,0.0,0.0,13.09,5.52
20231022:0210,0.0,0.0,12.84,5.31
20231022:0310,0.0,0.0,12.62,5.03
20231022:0410,0.0,0.0,12.58,4.69
20231022:0510,0.0,0.0,12.5,4.41
20231022:0610,0.0,0.0,12.26,3.93
20231022:0710,66.8,8.57,12.14,3.59
20231022:0810,82.28,16.22,12.41,3.31
20231022:0910,52.2,22.37,12.74,3.38
20231022:1010,115.38,26.47,13.02,3.31
20231022:1110,97.99,28.07,13.6,3.38
20231022:1210,44.87,26.95,13.66,3.45
20231022:1310,81.5,23.25,14.57,3.52
20231022:1410,137.29,17.42,14.72,2.9
20231022:1510,120.48,10.0,14.17,2.55
20231022:1610,0.92,1.48,13.33,2.55
20231022:1710,0.0,0.0,12.79,2.55
20231022:1810,0.0,0.0,12.48,2.76
20231022:1910,0.0,0.0,11.77,2.07
20231022:2010,0.0,0.0,11.18,2.21
20231022:2110,0.0,0.0,10.77,2.07
20231022:2210,0.0,0.0,10.46,1.93
20231022:2310,0.0,0.0,9.88,1.93
20231023:0010,0.0,0.0,9.54,1.79
20231023:0110,0.0,0.0,9.15,1.79
20231023:0210,0.0,0.0,8.73,1.86
20231023:0310,0.0,0.0,8.44,1.79
20231023:0410,0.0,0.0,8.45,1.66
20231023:0510,0.0,0.0,8.1,1.79
20231023:0610,0.0,0.0,7.77,1.86
20231023:0710,80.24,8.29,7.84,2.07
20231023:0810,97.87,15.93,8.85,2.34
20231023:0910,155.39,22.05,9.89,2.55
20231023:1010,239.39,26.13,11.02,2.9
20231023:1110,239.38,27.72,11.95,3.45
20231023:1210,178.44,26.59,12.75,3.45
20231023:1310,104.4,22.91,13.31,3.59
